Key,English,Simplified Chinese,Traditional Chinese
howto_surrenderordestroy2,"You can choose to surrender your fleet with Jean's <style=""gold"">Parlay</style> tactic, use<style=""gold""> Disengage</style> tactic to run away or continue battling and risk destruction. Remember,  your enemies will have the same choices.","您可以选择使用吉恩的<style=""gold"">谈判</style>战术，停战投降，使用<style=""gold""> 脱身</style>战术逃离战场，或是冒着被摧毁的风险坚持战斗。但请牢记，您的敌人也会有同样的可用选项。","您可以選擇使用吉恩的<style=""gold"">談判</style>戰術，停戰投降，使用<style=""gold""> 脫身</style>戰術逃離戰場，或是冒著被摧毀的風險堅持戰鬥。但請牢記，您的敵人也會有同樣的可用選項。"
howto_surrenderordestroy3,"

You can pay the charge with either loots, Eagle, 
or the combination of the two.",您可以使用战利品、鹰币或是二者结合的方式支付费用。,您可以使用戰利品、鷹幣或是二者結合的方式支付費用。
howto_surrenderordestroy4,"
You can surrender with Jean’s Parlay tactic",您可以使用吉恩的谈判战术停战投降,您可以使用吉恩的談判戰術停戰投降
howto_surrenderordestroy5,"If you want to surrender, or simply that paying some toll collectors can be more efficient for your pocket. 
Regularly normal battle compensation can be quite higher than what extorters and toll collectors demand.","如果您想通过投降或是简单粗暴地支付“过路费”、“贿赂金”行事，或许更有效率。
通常来说，常规的战斗赔偿金可能比劫掠者和收费员要求的金额更高。","如果您想通過投降或是簡單粗暴地支付“過路費”、“賄賂金”行事，或許更有效率。
通常來說，常規的戰鬥賠償金可能比劫掠者和收費員要求的金額更高。"
howto_surrenderordestroy6,"A defeat will result in <style=""gold"">GAME OVER</style>. The player can then choose to retry the encounter with the lastest save file or load another file for an alternative path.","一次作战失败将导致<style=""gold"">游戏结束</style>，您可以通过加载最后一个存档重启遭遇战，或是加载其他存档以避开遭遇战。","一次作戰失敗將導致<style=""gold"">遊戲結束</style>，您可以通過加載最後一個存檔重啟遭遇戰，或是加載其他存檔以避開遭遇戰。"
button_previous,Previous,上一个,上一個
merchant_warehouse,Warehouse,仓库,倉庫
merchant_treasury,Treasury,宝库,寶庫
merchant_sellprice,Sell Price,售价,售價
merchant_cannotsellthisitem,Cannot sell this item,无法出售此物品,無法出售此物品
shipattribute_cruisecolon,Cruise :,巡航：,巡航：
shipattribute_battlecolon,Battle :,战斗：,戰鬥：
shipattribute_intengritycolon,Integrity :,完整度：,完整度：
shipattribute_potencycolon,Potency :,火力：,火力：
merchant_merchantavailableeagle,Merchant's Budget:,商人可用鹰币：,商人可用鷹幣：
merchant_chooseamount,Amount,选择数量,選擇數量
merchant_buypricefor0unit,Buy Price for 0 units :,0 单位的购买价格：,0 單位的購買價格：
button_buy,Buy,购买,購買
button_cancel,Cancel,取消,取消
facility_warehousestorage,Warehouse storage,仓库存储,倉庫存儲
facility_requireconstruction,Require Construction,需要建设,需要建設
facility_upgradetounlock,Upgrade the facility to unlock,升级设施以解锁,升級設施以解鎖
storage_storagelocation,Storage Location,存储位置,存儲位置
storage_currentlocation,Current Location,当前位置,當前位置
storage_anotherlocation,Other Locations,其他位置,其他位置
shiproster_allship,ALL SHIPS,全部飞艇,全部飛艇
shiproster_all,All,全部,全部
shiproster_sizes,S,S,S
shiproster_sizem,M,M,M
shiproster_sizel,L,L,L
shiproster_sizexl,XL,XL,XL
shiproster_ports,Ports,港口,港口
shiproster_ships,Ships,飞艇,飛艇
shiproster_playersflagship,Your Flagship,玩家旗舰,玩家旗艦
shiproster_currentship,CURRENT SHIP,当前飞艇,當前飛艇
shiproster_transfer,Transfer,运输,運輸
officerpanel_promoteofficer,Promote officer,军官升级,軍官升級
officerpanel_areyoursuretouse,Are you sure to use,您确定使用,您確定使用
officerpanel_topromote,to promote?,升级？,升級？
production_availablerecipes,AVAILABLE RECIPES,可用配方,可用配方
production_selectitemtotransfer,Select an item to produce,选择要运输的物品,選擇要運輸的物品
production_recipe,RECIPE,配方,配方
production_selectmaterial,Materials from the LOCAL WAREHOUSE,当地仓库的材料,當地倉庫的材料
production_duration,Duration,持续时间,持續時間
production_priceperunit,Price per unit,单价,單價
production_amountcolon,Amount:,数量：,數量：
production_tolocalwarehouse,To Local Warehouse,至本地仓库,至本地倉庫
production_placeorder,Place Order,生产,生產
production_ignoreitemquality,Ignore Item Quality,无视物品质量,無視物品品質
production_governingofficer,Governing Officer,管理人员,管理人員
generic_futurecontent,Future Content,未来更新内容,未來更新內容
production_currentlyinproduction,CURRENTLY IN PRODUCTION,正在生产,正在生產
production_localwarehouse,Local Warehouse,当地仓库,當地倉庫
production_inproduction,In Production,生产中,生產中
production_materialselection,Material SELECTION,材料选择,材料選擇
production_selectprefermaterials,Select Material quality levels for this batch of production,选择此批次生产的材料质量级别,選擇此批次生產的材料品質級別
production_selectitemscolon,Selected Items:,选择物品：,選擇物品：
production_rightclicktounassign,Right click to unassign item,右键单击以取消物品分配,右鍵單擊以取消物品分配
production_localwarehousematerial,LOCAL WAREHOUSE Materials,当地仓库材料,當地倉庫材料
production_shifttobatch,Shift + Left Click for batch selection,Shift+左键进行批量选择,Shift+左鍵進行批量選擇
production_availablematerial,AVAILABLE Materials,可用材料,可用材料
narrative_yourecieveitem,You recieved item:,您收到物品：,您收到物品：
narrative_newairframeunlocked,NEW AIRFRAME UNLOCKED,解锁新机身,解鎖新機身
narrative_newofficerjoin,NEW OFFICER JOINED,新军官加入,新軍官加入
narrative_skip,"SKIP
",跳过,跳過
battle_space,Space,空格,空格
battle_fireweapons,Fire Weapons,武器发射,武器發射
battle_move,Move,移动,移動
surrender_penalties,TOLL AND BATTLE COMPENSATION,通行费与战斗赔偿金,通行費與戰鬥賠償金
battle_youarelosttothesky,you are lost to the sky,您败北于此,您敗北於此
saveload_latestautosave,Latest autosave,最新自动存档,最新自動存檔
button_main menu,Main menu,主菜单,主菜單
saveload_manualsave,MANUAL SAVE,手动保存,手動保存
saveload_autosave,AUTO SAVE,自动保存,自動保存
warning_exitconfirmation,Are you sure you want to exit to main menu?,您确定退出至主菜单吗？,您確定退出至主菜單嗎？
button_no,no,否,否
button_yes,yes,是,是
career_choosenation,Choose Your Home Nation,选择您的所属国籍,選擇您的所屬國籍
factionname_AK,AECERLIAN KINGDOM,伊塞利亚王国,伊塞利亞王國
factionname_NVR,NEW VIRIDIAN REPUBLIC,新翠共和国,新翠共和國
factionname_TC,TEUTONIC CONFEDERATION,条顿联盟,條頓聯盟
career_startership,Starter ship,初始飞艇,初始飛艇
factiontext_AK1,Powerful fleet,强力舰队,強力艦隊
factiontext_AK2,"Azure Eagles of the Azure Ring, Aecerlia Kingdom is the
most powerful nation of the Azure Ring, boasting the
most powerful fleet and advanced magical technology.","来自蓝环地区的蔚蓝之鹰，伊塞利亚王国
是蓝环地区最强大的的国家，
拥有最强力的舰队和现金的魔法技术。","來自藍環地區的蔚藍之鷹，伊塞利亞王國
是藍環地區最強大的的國家，
擁有最強力的艦隊和現金的魔法技術。"
factiontext_AK3,Traditionalist,传统主义,傳統主義
factiontext_AK4,"Their citizen are very disciplined and formal people.
they followed the old teaching of their ancestors to their
heart, while not shy away from making change.","他们的公民都非常强调纪律与规则。
遵循着祖先留下的古老传统，
与此同时，也毫不避讳对糟粕文化的变更。","他們的公民都非常強調紀律與規則。
遵循著祖先留下的古老傳統，
與此同時，也毫不避諱對糟粕文化的變更。"
factiontext_AK5,Militaristic culture,军国主义文化,軍國主義文化
factiontext_AK6,"In Aecerlian, those who takes arms and fight for his or her
nation, especially those who achieve greatness, will gain
untold prestige and recognition. While other professions
service of the nation.","在伊塞利亚，那些勇于拿起武器捍卫国家之人，
尤其是为此取得伟大成就的人，
都将获得不可估量的声望与认可。
其他行业的职业者也会以服务于国家为荣。","在伊塞利亞，那些勇於拿起武器捍衛國家之人，
尤其是為此取得偉大成就的人，
都將獲得不可估量的聲望與認可。
其他行業的職業者也會以服務於國家為榮。"
factiontext_NVR1,Versatile fleet,多样舰队,多樣艦隊
factiontext_NVR2,"New Viridian Republic, Mares of the Viridian Ring, the Republic is the most powerful nation of the Viridian Ring with many other nations under its sphere of influence and controlling large and diverse fleet.",新翠共和国无疑是绿环地区的力量之源，它集合了该地区最强大的多个国家，并控制着庞大且多样化的舰队。,新翠共和國無疑是綠環地區的力量之源，它集合了該地區最強大的多個國家，並控制著龐大且多樣化的艦隊。
factiontext_NVR3,Progressionist,进步主义,進步主義
factiontext_NVR4,The ‘green ringers’ are brave and cultured people. They are skilled traders and eloquent diplomats who value progression and profits above all else.,绿环人都是勇气与修养并存的人群，既是技术娴熟的商人，又是舌灿莲花的外交官，将进步与利润看得高于一切。,綠環人都是勇氣與修養並存的人群，既是技術嫺熟的商人，又是舌燦蓮花的外交官，將進步與利潤看得高於一切。
factiontext_NVR5,Mercantilism,商业主义,商業主義
factiontext_NVR6,"In the NVR, wealth and success will only come to those who seek them and great achievement can only be attained by those who excel above the others. As a result, traders and merchants rank among the most common professions in the country.","在新翠共和国，只有努力寻求财富与成功才有机会出人头地，最伟大的成就则需要超越他人才得以实现。
因此，贸易与商人是这个国家最常见的职业之一。","在新翠共和國，只有努力尋求財富與成功才有機會出人頭地，最偉大的成就則需要超越他人才得以實現。
因此，貿易與商人是這個國家最常見的職業之一。"
factiontext_TC1,Sturdy Fleet,顽强舰队,頑強艦隊
factiontext_TC2,"Teutonic Confederation, dragons of the Silver Ring, a confederation of clans and tribes of the harsh Silver Ring. Their Airships are uniquely designed to rely on no sail and wind by utilizing the power of ‘black science’","条顿联盟堪称银环之龙，由环境最为恶劣的银环部落与氏族构建而成。
他们的飞艇由于独特的“黑科技”加持，依靠无帆无风即可远航。","條頓聯盟堪稱銀環之龍，由環境最為惡劣的銀環部落與氏族構建而成。
他們的飛艇由於獨特的“黑科技”加持，依靠無帆無風即可遠航。"
factiontext_TC3,Survivalist,生存主义,生存主義
factiontext_TC4,"The ‘silver ringers’ are hardy and strong people, shaped by the harsh environment of the cold Silver Ring. They are gifted warriors and brilliant inventors with an unyielding will to survive.","银环人的强壮与顽强的特性，完全由该地区冰冷恶劣的环境所塑造。
他们都是天赋异禀的战士和才华横溢的发明家，有着不屈不挠的生存意志。","銀環人的強壯與頑強的特性，完全由該地區冰冷惡劣的環境所塑造。
他們都是天賦異稟的戰士和才華橫溢的發明家，有著不屈不撓的生存意志。"
factiontext_TC5,Pragmatism,实用主义,實用主義
factiontext_TC6,"In the Confederation, everyone worked to contribute to the survival and prosperity of the community. This makes the people of the Confederation place more value on resources and knowledge rather than culture and entertainment
","在条顿联邦，每个人都在努力为社区的生存和繁荣做贡献。
这使得联邦人民更重视资源与知识，而非文化与娱乐。","在條頓聯邦，每個人都在努力為社區的生存和繁榮做貢獻。
這使得聯邦人民更重視資源與知識，而非文化與娛樂。"
career_choosecareerbackground,CHOOSE YOUR CAREER BACKGROUND,请选择您的职业背景,請選擇您的職業背景
careertext_combatant,"You were among the best your nation has to offer to the Great Sky War. Instead of wasting your talent in risky battles. You were put to good use away from the main theaters, sometimes in your nation's territory and sometimes, far within the enemy's.",你是所在民族在伟大的天空之战中最强大的成员之一，与其在冒险的战斗中浪费天赋，不如投身于最重要的战场中发光发热。有时你会捍卫己方每一寸领土，有时你也会深入敌后挥汗洒泪。,你是所在民族在偉大的天空之戰中最強大的成員之一，與其在冒險的戰鬥中浪費天賦，不如投身於最重要的戰場中發光發熱。有時你會捍衛己方每一寸領土，有時你也會深入敵後揮汗灑淚。
career_startingitems,Starting items,初始物品,初始物品
careername_combatant,COMBATANT,战斗专家,戰鬥專家
careertext_logistician,"There has never been a shortage of need to move things around, especially while there is a continental war going on. You began your career years ago by piloting freighters for navy suppliers until you saved enough to purchase your own ship.",这里从不缺乏物品运送的需求，尤其是在大范围的战争期间。几年前，你就开始了自己的职业生涯，起初是为海军供应商的货艇引航，直到存下了足够的金钱购买自己的运输飞艇。,這裏從不缺乏物品運送的需求，尤其是在大範圍的戰爭期間。幾年前，你就開始了自己的職業生涯，起初是為海軍供應商的貨艇引航，直到存下了足夠的金錢購買自己的運輸飛艇。
careername_logistician,LOGISTICIAN,物流专家,物流專家
careertext_industrialist,"Life has been quiet and fulfilling while you spend your days counting and hauling warehouse stock while optimizing your parents factory productivity over the years. The war has been exaggerating the demand of your goods and you knew it, but it is very difficult to resist the temptation to expand when there’s profit to be made.",多年来，你在清点与搬运仓库库存，以及尽可能优化家族工厂生产效率的每一天都过得平静而充实。你很清楚的知道，是那场大型战争夸大了您的商品战争，但当面对实打实的利润时，很难抵抗住扩张规模的诱惑。,多年來，你在清點與搬運倉庫庫存，以及盡可能優化家族工廠生產效率的每一天都過得平靜而充實。你很清楚的知道，是那場大型戰爭誇大了您的商品戰爭，但當面對實打實的利潤時，很難抵抗住擴張規模的誘惑。
careername_industrialist,INDUSTRIALIST,实业专家,實業專家
career_registration,REGISTRATION,注册,註冊
career_firstname,First Name:,名：,名：
career_middlename,Middle Name:,中间名：,中間名：
career_default_James,James​,詹姆斯,詹姆斯
career_default_P,P,P.,P.
career_default_Harvey,Harvey​,哈维,哈維
career_lastname,Last Name:,姓：,姓：
career_alias,Alias:,别名：,別名：
career_default_Wanderer,Wanderer​,漂泊者,漂泊者
career_youarecolon,You are:,您是：,您是：
career_biography,BIOGRAPHY,个人履历,個人履歷
career_background,Background,背景,背景
career_nationality,Nationality,国籍,國籍
career_letter1,"Thank you very much for your kind consideration to Join the Silberblum Trading Company.

Within this envelope you would find an exchange note for the up front payment as per our agreement and a handbook
detailing rules and regulation that you must comply while under the company’s employment. Your ship has also been
granted one way passage into the Suthsegian Border during the week of your arrival so please be at the kingdom’s
border on time. 

Looking forward to meet you in person on October 592. 
","首先，非常感谢您考虑加入斯波布鲁贸易公司，我为此感到十分荣幸。

我在此信封中附上以下物品：协议预付款的兑换单据以及一本关于您在工作期间必须遵守的章程与条例手册。
在您抵达的一周内，您的飞艇也将获得进入萨斯赛克边境的单程许可，因此，请准时前往王国边境。

期待与您在592年10月的会面。","首先，非常感謝您考慮加入斯波布魯貿易公司，我為此感到十分榮幸。

我在此信封中附上以下物品：協議預付款的兌換單據以及一本關於您在工作期間必須遵守的章程與條例手冊。
在您抵達的一周內，您的飛艇也將獲得進入薩斯賽克邊境的單程許可，因此，請準時前往王國邊境。

期待與您在592年10月的會面。"
career_letter2,Agatha Schwartz,阿加莎·施瓦茨,阿加莎·施瓦茨
career_letter3,The Silberblum Trading Company,斯波布鲁贸易公司,斯波布魯貿易公司
career_creatinganewprofile,Creating a new career profile...,正在创建新的职业档案……,正在創建新的職業檔案……
shipattribute_unavailable,Unavailable,不可用,不可用
shipattribute_cannon,CANNON,大炮,大炮
shipattribute_missile,MISSILE,导弹,導彈
shipattribute_torpedo,TORPEDO,鱼雷,魚雷
shipattribute_pervolley,Per Volley,每次截击,每次截擊
shipcolor_alpha,Alpha,初始,初始
shipcolor_r,R:,红：,紅：
shipcolor_g,G:,绿：,綠：
shipcolor_b,B:,蓝：,藍：
shipcolor_hex,Hex:,色彩进位：,色彩進位：
shipyard_refit,Refit the ship?,重新装配飞艇？,重新裝配飛艇？
shipyard_revert,Revert to previous setup?,是否恢复到之前的设置？,是否恢復到之前的設置？
button_confirm,Confirm,确认,確認
inventory_switchtotransfer,Switch to transfer mode,切换运输模式,切換運輸模式
inventory_transferitem,Transfer Item,物品运输,物品運輸
shipfitting_placeselect,Place / Select,放置/选择,放置/選擇
shipfitting_removecancel,Remove / Cancel,移除/取消,移除/取消
shipfitting_rotate,Rotate,更换,更換
shipfitting_exterior,Exterior,外观,外觀
shipfitting_plating,Plating,护板,護板
shipfitting_storage,Storage,仓储,倉儲
shipfitting_interior,Interior,内部装置,內部裝置
shipfitting_drive,Drive,驱动装置,驅動裝置
shipfitting_na,N/A,不可用,不可用
button_undo,Undo,撤销,撤銷
button_redo,Redo,恢复,恢復
shipfitting_shipparts,Ship Parts,飞艇零部件,飛艇零部件
shipfitting_checklist,CHECKLIST,核对表,核對表
shipfitting_finish,FINISH,完成,完成
language_menu_header,LANGUAGE SETTINGS,语言设置,語言設置
language_menu_des,"You can change the language next time in the <style=""medalliongold"">Setting menu</style>","您可以在<style=""medalliongold"">设置菜单</style>里更改语言。","您可以在<style=""medalliongold"">設置菜單</style>裏更改語言。"
howto_capturingship1,CAPTURING AIRSHIP,俘获飞艇,俘獲飛艇
howto_capturingship2,"To capture an airship, make sure that it is capturable by checking out its <style=""gold"">tooltip</style> or <style=""gold"">airship info</style>. There are two ways to capture an airship. The best way that has a 100% chance of capture is to board the ship and decrease its crew to zero. For the other way that has a lower chance, some airships will be captured after surrendering themselves after sustaining a certain amount of damage (more suitable for capturing civilian airships)","在尝试俘获飞艇之前，请先查看<style=""gold"">工具</style>或者<style=""gold"">飞艇信息</style>以确保该飞艇是可被俘获的。通常来说，俘获飞艇有两种方式：1）俘获概率为100% - 登上敌方飞艇并消灭对方全部船员；2）概率较低 - 某些飞艇会在遭受一定程度的损害之后向您投降。方法2更适合用于俘获民用飞艇。","在嘗試俘獲飛艇之前，請先查看<style=""gold"">工具</style>或者<style=""gold"">飛艇資訊</style>以確保該飛艇是可被俘獲的。通常來說，俘獲飛艇有兩種方式：1）俘獲概率為100% - 登上敵方飛艇並消滅對方全部船員；2）概率較低 - 某些飛艇會在遭受一定程度的損害之後向您投降。方法2更適合用於俘獲民用飛艇。"
howto_capturingship3,Enemy's escort1 is captured!,敌方的护卫舰1已被俘获！,敵方的護衛艦1已被俘獲！
howto_capturingship4,Select your prefered destination for your new airship.,请为您的新飞艇选择一个目的地。,請為您的新飛艇選擇一個目的地。
howto_supplymanagement1,SUPPLY MANAGEMENT,物资管理,物資管理
howto_supplymanagement2,"For your fleet to be operating at its full capacity, make sure to manage these 5 fundamental fleet resources properly:

1.Materials        Normally, without any cost, broken ship parts will be repaired at a slow pace. On the contrary, having a building Materials to 
                        replace will increase the repair speed immensely.

2. Fuel             Activating the cruising mode to achieve maximum fleet speed is very vital. The fuel will be spent both to initiate and sustain the 
                        cruising system. Larger and more ship in the fleet will also mean higher fuel consumption rate for the player.

3. Ammo         Suthseg's sky can be full of surprises. So the ammunition for your armaments are always one of the top priorities. While some of 
                        the ship parts can produce ammunition but usually in a small quantity. resupply from  time to time is advised 

4. Crew            Keep the crew amount high so the airship can function properly without any low-crew penalty, crew number also play an 
                        important part in any boarding situation.
    
5. Morale         It is very important to keep your crews happy, morale will be spent on the activation and sustainment of officer
                        tactics and also have a large impact on your boarding performance as well.","为了使您的舰队可以满载运行，请确保对以下五种基础舰队资源进行有效管理：

1.材料       通常情况下，在没有任何支出的时候，破损的飞艇部件将会以缓慢的速度被修复，
                 但如果拥有一种可直接替换的材料时，将大大提高部件维修速度。

2.燃料       保持巡航模式对维持舰队最大速度至关重要，燃料将用于启动和保持巡航模式的运行。
                 舰队中的飞艇数量越多，质量越大，意味着玩家的燃料消耗越高。

3.弹药       萨斯赛克的天空总是充满惊喜，因此，您需要时刻保持弹药充足。
                 尽管某些飞艇部件可以生产弹药，但数量通常很少，建议经常补足弹药数量。

4.船员       保持足够多的船员，以保证您的飞艇可以正常工作，不至于受到人手不足的影响。
                 除此之外，在强行攻占敌方飞艇时，船员的数量也很重要。

5.士气       让您的船员保持心情娱乐非常重要，士气将被用于激活和维持军官战术。
                 除此之外，在强行攻占敌方飞艇时，士气也有其作用。","為了使您的艦隊可以滿載運行，請確保對以下五種基礎艦隊資源進行有效管理：

1.材料 通常情況下，在沒有任何支出的時候，破損的飛艇部件將會以緩慢的速度被修復，
 但如果擁有一種可直接替換的材料時，將大大提高部件維修速度。

2.燃料 保持巡航模式對維持艦隊最大速度至關重要，燃料將用於啟動和保持巡航模式的運行。
 艦隊中的飛艇數量越多，品質越大，意味著玩家的燃料消耗越高。

3.彈藥 薩斯賽克的天空總是充滿驚喜，因此，您需要時刻保持彈藥充足。
 儘管某些飛艇部件可以生產彈藥，但數量通常很少，建議經常補足彈藥數量。

4.船員 保持足夠多的船員，以保證您的飛艇可以正常工作，不至於受到人手不足的影響。
 除此之外，在強行攻佔敵方飛艇時，船員的數量也很重要。

5.士氣 讓您的船員保持心情娛樂非常重要，士氣將被用於啟動和維持軍官戰術。
 除此之外，在強行攻佔敵方飛艇時，士氣也有其作用。"
howto_supplymanagement3,"You can refill any fleet's resources at the supply stations which will be available for most of the ports located in the dock district.
While all supply types are always available in the station, the costs of each type can vary depending on the port location. 

Don't sleep on the Silberblum supply stations as they will usually have more affordable resource prices.

You can also use the supply station to rest and skip the night (only available between 4pm and 6am)","您可以在任意一个补给站补充舰队资源，大多数港口的码头区都会有补给站的存在。
尽管补给站有各种资源，但不同位置的港口补给站所提供的资源类型成本不同。

斯波布鲁补给站的资源价格通常最为实惠，请不要错过。

您也可以在补给站休息和过夜（仅在下午四点至第二天早上六点可用）。","您可以在任意一個補給站補充艦隊資源，大多數港口的碼頭區都會有補給站的存在。
儘管補給站有各種資源，但不同位置的港口補給站所提供的資源類型成本不同。

斯波布魯補給站的資源價格通常最為實惠，請不要錯過。

您也可以在補給站休息和過夜（僅在下午四點至第二天早上六點可用）。"
howto_cruisemode1,CRUISE MODE,巡航模式,巡航模式
howto_cruisemode2,"Depending on the fleet’s performance, the commander can enter cruise mode to travel faster. While there is no significant downside to activating the cruising drive,  it is not possible for ships to turn while cruising and it also takes a bit of time to prime the cruising drive.",舰队的性能决定指挥官是否可以启用巡航模式以更快到达目的地，尽管巡航模式没有什么明显的负面影响，但飞艇在巡航过程中无法转变航向，启动巡航模式也需要一定的时间。,艦隊的性能決定指揮官是否可以啟用巡航模式以更快到達目的地，儘管巡航模式沒有什麼明顯的負面影響，但飛艇在巡航過程中無法轉變航向，啟動巡航模式也需要一定的時間。
howto_cruisemode3,"For a fleet with multiple ships, use the slowest ship as a base for cruising calculation except for the supply usage calculation, which will use a sum amount instead.",对于拥有多艘飞艇的舰队而言，将以速度最慢的飞艇作为巡航计算的基础，但物资使用量除外，它将统计整个舰队的消耗总额。,對於擁有多艘飛艇的艦隊而言，將以速度最慢的飛艇作為巡航計算的基礎，但物資使用量除外，它將統計整個艦隊的消耗總額。
howto_addingescortairships1,ADDING ESCORT AIRSHIPS,增加护卫舰,增加護衛艦
howto_addingescortairships2,"As you progress, you will have a chance to expand your fleet. Getting a new airship as a quest reward, capturing a surrendered one, buying from merchants or even building one from your shipwright are all valid options for attaining a new member for your fleet.",伴随着您的发展与进步，您将有机会进一步扩大舰队规模，可用方式如下：以新飞艇作为任务完成奖励；俘虏一艘投降的飞艇；从商人手中购买；在造船厂亲自打造。这都将成为您增加新成员的有效选择。,伴隨著您的發展與進步，您將有機會進一步擴大艦隊規模，可用方式如下：以新飛艇作為任務完成獎勵；俘虜一艘投降的飛艇；從商人手中購買；在造船廠親自打造。這都將成為您增加新成員的有效選擇。
howto_addingescortairships3,"You can have up to 3 airships in your fleet. Which are flagship, escort1 and escort2 respectively. While you have a direct-control of your flagship, the 2 escorts will be your AI companions which will follow you around on your voyage and will act according to their preset combat behavior which you can re-issue between the combat.",您的舰队中最多可以包含3艘飞艇，分别是旗舰、护卫舰1和护卫舰2.虽然您可以直接控制您的旗舰，但这两艘护卫舰将由您的AI同伴驾驶，他们会在您航行过程中紧随步伐，并根据他们预设的战斗行为行事，该战斗行为可以在战斗环节之间进行重设。,您的艦隊中最多可以包含3艘飛艇，分別是旗艦、護衛艦1和護衛艦2.雖然您可以直接控制您的旗艦，但這兩艘護衛艦將由您的AI同伴駕駛，他們會在您航行過程中緊隨步伐，並根據他們預設的戰鬥行為行事，該戰鬥行為可以在戰鬥環節之間進行重設。
howto_addingescortairships4,"Beware!, a destroyed escort ship will be lost permanently.",请注意！一旦您的护卫舰被摧毁，您将永久失去它。,請注意！一旦您的護衛艦被摧毀，您將永久失去它。
howto_subject_addingescortairships,adding escort airships,增加护卫舰,增加護衛艦
howto_subject_cruisemode,cruise mode,巡航模式,巡航模式
howto_subject_capturingairship,capturing airship,俘获飞艇,俘獲飛艇
howto_subject_supplymanagement,supply management,物资管理,物資管理
howto_subject_fleetresourceheader,fleet resources (1),舰队资源（1）,艦隊資源（1）
hangar_shipcost,Ship Cost,飞艇成本,飛艇成本
battle_summary_discarded,"DISCARDED
",丢弃,丟棄
pvp_setup_create_new_vessel,CREATE NEW VESSEL,创建新飞艇,創建新飛艇
option_setting_zoomsensitivity,Zoom Sensitivity,缩放灵敏度,縮放靈敏度
narrative_press,Press,按,按
narrative_tocontinue,to continue,继续,繼續
careertext_combatant_full,"You were among the best your nation has to offer to the Great Sky War. Instead of wasting your talent in risky battles. You were put to good use away from the main theaters, sometimes in your nation's territory and sometimes, far within the enemy's.

At first, you were a rising talent among peers, cruising and hunting wanted men and ships wherever they may be. After being hardened by years of service, you left the army and become a hired hand, serving whatever cause you deem worthy. Years with endless supplies of jobs, have left you with your guard down. 

As the war stalled, you sold your things to keep men on the payroll. Then the year drags on, and you contemplate loaning your ship and giving up a life of a skyfarer. At that desperate moment, you received ""The Letter""","你是所在民族在伟大的天空之战中最强大的成员之一，与其在冒险的战斗中浪费天赋，不如投身于最重要的战场中发光发热。有时你会捍卫己方每一寸领土，有时你也会深入敌后挥汗洒泪。

起初，你只是同龄人行伍中一个颇有天赋的新星而已，无论身处何地，你都会致力于查找和追击通缉犯和他们的舰队。经过多年的军队服役，你逐渐变得强大起来，离开了国家军队，成为了一名雇佣兵，继续从事自己认为有意义的事业。多年来，职业发展一路通畅，你开始有些放松警惕了。

随着战争的停滞，你不得以卖掉了个人资产，才能支付那些员工的工资。然后日复一日，年复一年，你打算靠出租自己的飞艇生活，放弃在天空中漫无目的游荡的生活。就在近乎绝望之际，你收到了“那封信”。","你是所在民族在偉大的天空之戰中最強大的成員之一，與其在冒險的戰鬥中浪費天賦，不如投身於最重要的戰場中發光發熱。有時你會捍衛己方每一寸領土，有時你也會深入敵後揮汗灑淚。

起初，你只是同齡人行伍中一個頗有天賦的新星而已，無論身處何地，你都會致力於查找和追擊通緝犯和他們的艦隊。經過多年的軍隊服役，你逐漸變得強大起來，離開了國家軍隊，成為了一名雇傭兵，繼續從事自己認為有意義的事業。多年來，職業發展一路通暢，你開始有些放鬆警惕了。

隨著戰爭的停滯，你不得以賣掉了個人資產，才能支付那些員工的工資。然後日復一日，年復一年，你打算靠出租自己的飛艇生活，放棄在天空中漫無目的遊蕩的生活。就在近乎絕望之際，你收到了“那封信”。"
